Math_Score,Science_Score,Biology_Score,Computer_Score,English_Score,Interest_Technology,Interest_Medicine,Interest_Business,Interest_Arts,Interest_Research,Logical_Thinking,Creativity,Communication_Skills,Problem_Solving,Risk_Taking,Leadership,Family_Preference,Financial_Stability_Required,Recommended_Career
64,89,45,81,75,5,8,8,0,10,8,9,4,1,3,7,1,2,Business Manager
89,97,63,48,56,1,9,9,5,8,7,9,2,3,2,9,1,5,Business Manager
62,99,59,62,60,2,9,9,4,2,5,5,4,1,0,0,0,1,General Studies
70,79,97,54,85,0,1,1,2,8,8,3,6,10,9,7,1,1,Research Scientist
69,60,76,52,55,1,5,3,10,0,1,8,0,4,2,10,1,7,Graphic Designer
81,67,59,62,85,1,5,7,10,6,10,6,2,3,0,6,1,10,General Studies
74,50,51,56,55,7,8,0,10,3,8,3,10,5,5,0,1,9,General Studies
46,94,72,87,95,7,8,4,8,6,9,10,5,6,7,8,1,4,Doctor
99,73,67,99,59,1,4,7,2,9,9,5,6,1,2,3,1,4,Research Scientist
55,47,47,41,68,5,4,1,1,5,5,1,9,1,3,6,0,10,General Studies
65,98,40,59,67,4,8,1,4,3,8,2,2,7,4,2,1,3,General Studies
87,61,76,59,47,2,7,7,8,3,3,10,3,8,6,7,1,10,Graphic Designer
96,47,61,98,63,4,6,9,7,7,4,6,5,4,10,3,1,9,General Studies
91,88,45,85,42,4,7,8,5,6,1,10,4,6,5,1,1,3,General Studies
99,54,60,42,64,4,5,6,2,3,2,3,10,8,1,1,0,7,General Studies
88,56,71,94,58,2,2,7,5,10,0,9,8,0,6,7,0,2,General Studies
41,99,74,51,72,2,6,4,4,5,3,6,0,7,7,7,1,10,General Studies
40,62,54,79,41,3,7,0,0,5,1,8,4,9,0,0,1,2,General Studies
87,63,44,41,54,6,7,3,4,0,1,4,10,9,5,5,1,7,General Studies
51,84,99,75,61,1,0,1,6,1,0,0,0,8,10,8,1,2,General Studies
44,58,95,53,99,9,6,2,8,3,9,4,7,8,8,8,0,1,General Studies
76,44,85,55,49,3,2,2,0,5,1,5,6,9,6,1,1,10,General Studies
71,71,89,58,57,3,1,8,2,5,3,10,4,6,4,7,0,4,Business Manager
98,83,87,73,61,0,1,9,7,0,5,1,5,9,9,7,0,10,Business Manager
94,40,45,83,85,9,7,3,5,7,6,7,3,2,10,3,1,2,Software Engineer
48,62,64,85,88,7,8,1,4,1,6,1,8,4,9,3,1,5,General Studies
80,76,95,45,66,0,2,2,9,4,6,8,2,1,8,4,0,10,Graphic Designer
74,47,85,52,52,7,2,2,1,3,3,1,1,10,1,10,1,6,General Studies
58,52,98,75,72,6,5,6,2,4,4,2,6,9,6,9,0,2,General Studies
87,47,95,61,44,8,10,7,1,4,10,7,1,2,8,6,1,8,Doctor
55,96,79,57,65,7,9,10,0,9,2,10,5,9,1,0,1,9,Doctor
42,62,68,51,52,4,0,5,6,7,0,5,10,6,10,10,1,0,General Studies
59,82,46,91,66,7,5,3,2,9,7,0,7,0,9,8,1,6,General Studies
63,40,79,98,96,10,2,5,6,6,9,3,2,2,5,2,0,3,Software Engineer
93,84,52,93,53,9,10,10,6,8,10,4,2,4,8,10,1,6,Software Engineer
95,90,77,69,63,2,3,0,7,10,6,10,2,10,2,3,1,8,General Studies
72,63,57,92,42,9,8,9,0,0,8,2,0,3,7,6,1,8,Software Engineer
63,74,41,90,86,6,2,7,4,5,9,0,8,2,4,4,0,0,General Studies
91,63,47,79,90,3,0,0,9,5,3,2,4,5,6,4,1,9,General Studies
50,56,50,46,88,4,2,4,8,1,4,8,8,5,2,0,0,3,Graphic Designer
88,44,72,71,69,8,6,1,10,10,4,1,4,3,7,1,0,6,Software Engineer
47,59,93,87,74,6,6,5,6,7,6,0,6,8,1,4,1,9,General Studies
75,60,77,58,87,3,10,8,0,5,8,6,0,10,7,1,0,5,Doctor
77,79,87,45,53,5,4,4,7,10,7,6,8,5,1,0,1,8,General Studies
79,97,66,59,51,9,0,3,2,9,6,4,0,8,6,9,1,6,General Studies
59,70,59,66,67,10,10,1,3,8,0,1,3,10,1,2,1,2,General Studies
74,85,51,92,83,6,7,2,3,9,9,0,6,9,6,10,0,6,Research Scientist
87,75,82,82,68,9,9,5,9,4,5,4,10,9,0,0,0,9,Doctor
64,50,70,76,82,8,7,7,7,6,9,9,8,1,5,9,0,4,Software Engineer
74,91,66,87,56,3,9,7,0,5,8,3,0,5,9,7,1,1,General Studies
64,54,71,46,79,9,9,4,7,10,6,8,10,3,6,7,1,9,Doctor
68,58,49,98,88,2,9,4,8,4,0,4,5,1,3,7,0,2,General Studies
57,46,42,44,60,7,1,9,8,5,8,10,10,4,10,6,0,5,Graphic Designer
85,90,84,50,96,0,9,2,4,3,2,9,9,2,10,6,1,5,Doctor
57,67,66,54,62,8,2,6,3,2,8,1,10,5,0,1,0,6,General Studies
41,90,74,42,59,0,3,5,3,0,3,3,4,10,5,8,1,5,General Studies
93,82,70,97,50,1,0,0,8,0,8,8,2,7,3,6,1,8,Graphic Designer
74,97,54,44,96,7,3,3,7,5,7,7,9,3,2,4,0,4,General Studies
55,44,55,62,96,8,4,5,9,8,6,2,1,3,3,3,1,4,General Studies
80,44,52,92,73,6,2,10,9,7,3,7,0,4,5,7,1,7,Business Manager
75,69,88,76,49,2,10,5,6,1,8,1,1,5,4,4,0,7,Doctor
72,93,74,48,49,6,9,10,2,8,3,2,3,10,1,5,0,0,Doctor
43,71,91,54,82,5,1,2,3,7,0,4,5,6,1,3,0,2,General Studies
72,47,50,42,99,1,5,5,8,8,5,10,4,5,2,1,1,5,Graphic Designer
53,49,98,68,45,2,7,9,7,3,3,9,3,6,10,6,1,5,General Studies
60,77,60,45,75,10,6,5,0,8,9,9,7,8,5,1,0,0,Research Scientist
87,86,90,56,63,9,10,8,2,1,2,7,6,3,0,10,1,1,Doctor
59,71,93,65,51,9,0,8,9,0,4,0,3,9,10,6,0,9,General Studies
95,87,50,60,82,4,3,1,1,8,2,3,9,0,6,6,1,6,General Studies
47,67,69,47,94,9,2,3,1,9,10,0,4,8,7,0,1,0,Research Scientist
46,56,99,60,62,3,5,8,7,7,8,0,9,6,6,9,1,9,Business Manager
42,70,87,96,66,1,8,3,5,6,5,4,4,3,10,9,1,4,Doctor
56,47,92,50,97,3,8,7,5,7,2,5,2,9,2,2,1,0,Doctor
72,79,74,77,96,7,6,9,3,0,4,0,8,7,5,2,0,5,General Studies
87,64,61,47,84,4,8,2,0,8,7,10,10,6,3,10,0,6,General Studies
51,48,77,81,76,4,7,2,10,9,7,5,4,1,4,5,1,7,General Studies
98,41,70,63,45,9,4,8,6,10,5,4,9,0,2,10,0,2,Business Manager
90,54,53,74,40,2,8,10,7,8,4,3,1,8,4,2,0,2,General Studies
61,89,63,94,45,7,6,9,1,10,4,9,3,6,5,8,1,10,Business Manager
94,42,89,53,89,5,4,7,1,8,0,4,3,9,7,4,1,0,General Studies
61,88,88,94,61,1,7,0,0,5,1,7,4,0,5,5,1,2,General Studies
85,75,71,53,80,1,6,9,3,3,10,8,7,3,8,5,0,4,General Studies
69,43,75,49,63,8,8,1,5,1,3,10,4,4,9,7,0,5,Doctor
77,53,71,51,64,6,9,2,4,10,5,1,0,4,9,9,0,2,Doctor
77,80,94,77,54,9,0,10,3,3,10,5,1,4,9,10,1,3,Software Engineer
84,80,54,83,65,8,8,1,3,6,6,2,2,10,9,2,1,4,Software Engineer
90,64,82,94,47,5,6,2,9,0,0,1,2,2,3,8,1,4,General Studies
93,97,97,85,90,4,0,7,6,8,7,0,9,4,1,6,1,8,General Studies
47,94,74,73,63,0,0,10,6,2,0,3,5,3,8,10,1,7,Business Manager
66,89,42,80,87,5,4,10,1,3,8,7,8,4,10,5,0,0,General Studies
66,49,55,49,77,5,7,5,6,4,3,2,9,6,2,10,0,1,General Studies
73,60,44,97,45,2,8,6,1,2,6,4,0,4,10,0,0,4,General Studies
60,75,60,56,93,2,5,9,3,3,10,9,5,7,6,3,1,2,General Studies
69,51,49,56,74,2,9,9,0,4,5,4,8,7,3,4,1,6,General Studies
72,66,58,42,81,2,7,5,4,0,8,4,3,2,0,1,0,10,General Studies
67,79,64,70,40,6,5,0,0,8,1,10,9,4,7,0,0,5,General Studies
86,41,43,90,99,9,10,10,3,9,10,8,2,3,3,1,1,1,Software Engineer
72,93,68,40,85,10,5,2,8,9,6,7,5,4,10,7,0,7,General Studies
44,52,58,51,75,1,3,0,7,3,10,7,5,7,5,9,1,4,General Studies
99,92,82,78,97,9,10,9,5,8,4,0,1,3,6,5,0,5,Doctor
87,71,41,43,51,9,4,8,7,3,6,0,4,4,7,9,0,7,Business Manager
58,70,49,81,77,1,1,8,4,0,0,1,0,6,9,1,0,5,General Studies
43,55,82,52,50,2,2,4,6,4,10,7,8,2,1,8,0,9,General Studies
74,71,64,73,51,9,2,3,7,8,10,9,8,5,8,7,1,2,Software Engineer
88,71,59,81,81,6,10,8,6,2,9,0,2,8,9,3,1,6,General Studies
56,99,87,60,89,2,4,8,3,4,8,3,4,10,2,10,1,3,Business Manager
83,73,58,61,78,6,4,2,4,2,0,8,2,3,0,9,0,5,General Studies
67,50,62,96,46,8,5,4,9,2,4,1,6,3,1,6,1,5,Software Engineer
69,49,63,43,50,10,4,2,5,0,7,2,0,5,7,2,0,10,General Studies
68,54,50,57,75,9,5,9,10,1,0,10,4,5,9,5,1,4,Graphic Designer
85,56,85,44,91,10,7,1,5,1,6,5,5,2,5,2,0,0,General Studies
92,79,73,58,70,3,1,0,8,8,1,10,10,0,10,9,1,7,Graphic Designer
45,57,94,41,72,6,3,9,9,6,6,9,6,2,0,2,1,9,Graphic Designer
74,94,67,51,52,8,5,1,1,7,6,2,2,7,10,10,0,1,General Studies
99,48,44,56,57,7,4,7,5,1,8,3,6,7,8,8,1,3,General Studies
80,64,98,49,80,7,0,10,2,8,5,8,3,5,6,5,0,2,General Studies
76,79,44,73,97,8,8,7,1,2,3,8,9,6,9,7,0,5,Software Engineer
63,98,90,45,95,4,2,2,5,9,6,9,10,1,10,3,0,10,General Studies
68,53,60,47,63,4,1,6,3,1,6,4,5,8,2,3,1,0,General Studies
88,99,51,90,48,2,8,6,4,0,3,6,4,2,6,7,1,8,General Studies
85,97,89,50,70,4,6,1,4,8,1,8,3,1,5,6,1,4,General Studies
92,64,43,96,94,7,4,8,2,7,10,7,5,4,2,4,1,4,General Studies
70,89,93,51,80,4,5,2,3,10,8,10,2,0,7,1,1,3,Research Scientist
74,61,88,48,49,3,10,1,2,3,7,6,2,4,0,5,0,3,Doctor
99,91,81,41,99,7,3,2,6,6,4,7,4,9,4,0,1,0,General Studies
72,69,59,47,41,6,0,1,0,2,4,4,10,3,7,6,1,8,General Studies
91,59,77,97,77,5,3,7,5,2,0,4,4,5,2,8,1,8,General Studies
60,60,64,50,54,4,8,4,3,3,10,4,8,4,10,4,0,3,General Studies
71,83,53,99,42,4,0,2,0,1,8,0,3,8,9,4,0,9,General Studies
62,71,50,92,82,9,9,4,0,9,10,5,4,4,10,6,0,9,Software Engineer
72,90,71,75,70,1,2,10,4,3,9,4,8,7,5,4,0,3,General Studies
42,85,50,49,45,3,4,10,4,9,10,7,3,1,9,9,1,6,Business Manager
57,88,57,60,42,7,6,7,9,2,7,7,2,2,10,3,0,3,General Studies
64,95,66,59,95,7,8,6,6,7,4,1,6,2,1,0,1,0,General Studies
81,60,94,87,50,10,5,5,3,10,9,10,6,2,8,5,1,10,Software Engineer
70,74,93,47,54,0,2,0,8,1,5,5,7,5,1,8,1,8,General Studies
93,97,57,75,84,1,6,9,3,10,9,10,3,6,4,3,0,1,Research Scientist
97,71,95,68,91,4,3,0,6,8,10,9,3,6,2,9,1,4,Research Scientist
42,69,62,81,67,8,2,0,4,2,9,9,8,6,9,10,0,3,Software Engineer
79,94,50,51,49,9,6,9,4,3,7,5,9,2,8,3,0,7,General Studies
85,78,60,53,77,10,10,7,5,9,5,2,6,0,8,4,0,5,General Studies
63,88,83,87,86,10,10,7,7,9,9,0,2,5,6,5,0,6,Doctor
89,51,44,93,96,6,6,6,4,2,3,6,8,2,9,2,0,1,General Studies
71,80,62,89,89,9,3,5,2,2,2,9,4,2,4,8,0,3,Software Engineer
86,86,80,60,89,4,6,3,5,7,6,4,3,2,8,0,0,3,General Studies
61,57,98,61,46,0,10,0,1,7,1,9,0,8,6,10,1,1,Doctor
62,60,64,60,54,5,1,8,7,5,6,4,8,3,1,5,0,9,General Studies
41,52,80,83,57,7,0,0,7,3,0,10,5,4,9,5,1,3,General Studies
66,60,93,89,57,6,1,3,2,0,9,7,10,2,0,7,0,8,General Studies
81,47,49,69,91,1,3,2,7,3,4,4,1,9,9,4,1,7,General Studies
41,85,61,78,80,4,7,6,8,7,8,4,6,0,9,8,1,10,General Studies
65,79,58,59,63,10,2,4,4,5,0,0,2,3,3,8,1,0,General Studies
56,85,40,63,41,3,9,4,4,1,7,1,5,0,9,1,1,7,General Studies
79,46,46,62,79,8,5,3,5,2,8,4,7,10,7,4,0,10,General Studies
72,62,43,46,59,9,5,0,6,6,8,6,2,10,5,6,1,8,General Studies
48,83,40,48,73,0,8,4,2,10,7,2,4,6,1,1,0,7,General Studies
82,71,54,40,82,5,8,3,4,10,3,0,5,6,4,6,0,9,General Studies
93,50,79,65,65,2,3,9,0,3,6,10,0,3,8,8,0,0,Business Manager
87,61,51,77,46,10,8,7,10,3,0,1,9,4,5,7,1,7,Software Engineer
78,61,61,77,77,8,5,1,9,4,6,2,6,9,5,9,0,4,Software Engineer
68,82,61,93,69,4,1,7,4,7,5,8,3,6,6,8,1,8,General Studies
81,64,89,83,81,5,9,0,3,6,4,7,9,5,10,3,0,8,Doctor
94,61,86,61,44,10,10,3,0,8,0,3,10,3,4,7,1,5,Doctor
65,67,56,83,50,8,5,2,6,4,7,7,6,3,2,8,0,2,Software Engineer
74,68,68,49,40,8,1,4,0,0,9,8,6,1,2,9,1,6,General Studies
89,52,85,94,73,7,7,4,7,3,0,2,10,9,4,1,1,2,General Studies
64,57,53,97,95,8,3,4,9,5,0,5,4,1,3,9,0,6,Software Engineer
63,41,89,45,40,3,4,3,1,5,2,7,7,3,4,2,0,7,General Studies
52,68,59,56,58,5,7,7,9,8,7,9,7,4,8,0,1,4,Graphic Designer
99,60,89,90,41,4,10,2,4,9,7,6,4,3,4,0,1,4,Doctor
97,54,87,89,60,4,7,3,5,4,6,8,4,2,3,9,1,3,General Studies
46,91,72,77,59,3,5,0,8,4,4,6,6,10,3,5,1,2,General Studies
96,66,94,63,62,1,3,6,6,5,7,0,5,1,0,0,1,7,General Studies
75,89,98,90,60,5,0,0,5,10,1,8,3,3,9,4,1,10,General Studies
84,70,82,49,63,8,6,1,4,5,7,4,1,10,3,5,0,5,General Studies
59,54,54,95,43,0,7,10,5,2,10,5,7,4,3,8,0,5,Business Manager
40,90,51,47,51,6,8,6,10,5,1,1,2,0,8,5,1,1,General Studies
47,62,79,60,61,5,1,0,3,7,9,1,1,0,10,3,0,3,General Studies
85,63,93,95,59,2,0,10,0,5,4,3,9,5,3,0,1,4,General Studies
55,83,59,45,57,0,3,2,8,10,10,3,6,4,6,5,0,10,Research Scientist
53,52,69,60,40,3,4,5,10,4,3,4,9,10,0,6,1,9,General Studies
51,61,77,96,69,8,9,5,4,2,0,6,5,3,6,4,1,4,Doctor
90,82,42,78,72,1,0,5,7,0,4,10,7,0,1,5,0,2,General Studies
62,76,67,63,63,2,4,10,6,4,6,0,5,6,10,9,0,9,Business Manager
54,72,95,72,53,1,5,1,7,5,0,9,6,3,7,7,0,4,General Studies
67,95,65,98,75,1,2,1,0,5,1,3,1,2,0,0,1,4,General Studies
73,42,69,57,44,9,6,5,8,5,8,8,9,6,9,7,0,1,Graphic Designer
41,93,52,95,50,10,5,9,0,2,4,7,1,1,2,10,1,4,Software Engineer
71,58,52,67,63,10,3,4,2,3,6,2,5,9,7,1,0,2,General Studies
62,62,41,96,99,7,2,6,7,2,1,5,8,0,9,1,0,2,General Studies
61,68,76,91,70,2,4,6,10,1,6,10,2,10,7,7,0,4,Graphic Designer
90,69,88,71,94,6,2,4,0,7,6,8,10,3,10,1,1,8,General Studies
64,78,77,51,52,7,9,7,0,6,6,7,9,7,4,7,1,1,Doctor
97,83,41,87,55,2,8,9,5,10,4,6,7,5,4,4,0,8,General Studies
61,86,75,81,63,1,8,5,4,7,8,6,4,8,7,8,1,2,Doctor
97,64,93,66,52,7,5,4,10,5,1,0,5,0,9,8,1,6,General Studies
97,76,65,49,63,2,10,3,5,10,3,4,5,0,4,7,0,0,General Studies
61,86,50,85,93,6,5,6,2,6,1,6,10,10,8,8,0,0,General Studies
88,47,47,96,65,0,3,3,9,0,7,1,9,4,0,6,0,7,General Studies
91,81,83,91,41,5,3,4,9,9,10,5,10,5,4,7,0,8,Research Scientist
81,97,79,81,55,8,1,4,5,4,0,1,2,7,2,5,1,2,Software Engineer
45,55,82,71,77,2,9,0,1,3,8,2,10,2,2,8,0,5,Doctor
54,47,61,81,85,6,3,0,7,9,4,0,10,5,1,1,1,2,General Studies
93,40,59,65,40,5,7,2,5,2,10,2,4,2,2,2,0,5,General Studies
82,83,47,64,88,7,9,10,3,1,2,6,0,7,6,1,0,6,General Studies
99,44,68,50,50,2,1,2,3,8,10,4,1,10,7,5,0,4,Research Scientist
76,42,79,62,90,2,8,1,10,7,3,3,9,10,7,2,0,2,Doctor
72,40,65,73,74,3,0,1,6,9,0,7,2,3,10,10,0,7,General Studies
47,43,69,96,82,2,1,5,2,1,2,7,3,1,7,0,0,4,General Studies
92,79,56,91,68,8,1,0,10,5,10,0,8,8,0,3,1,0,Software Engineer
99,74,59,79,76,10,10,5,2,2,7,8,0,9,10,4,1,8,Software Engineer
83,71,91,62,56,3,5,4,5,2,1,8,2,7,6,10,1,2,General Studies
83,81,94,68,97,5,6,5,8,4,1,1,2,5,1,3,1,1,General Studies
44,73,55,70,93,7,2,4,0,6,8,1,5,2,10,5,1,2,General Studies
78,82,85,46,78,10,10,6,4,6,4,7,4,1,9,2,1,6,Doctor
43,64,82,79,81,7,8,0,0,10,4,10,2,3,3,9,1,10,Doctor
45,49,46,72,67,4,4,2,0,9,0,5,3,3,4,5,0,9,General Studies
84,60,55,60,68,4,4,5,2,0,5,2,10,0,0,9,1,7,General Studies
71,85,84,41,82,5,10,0,2,10,7,1,6,8,3,0,0,1,Doctor
91,78,98,57,42,9,3,10,3,6,5,4,2,9,3,5,1,6,General Studies
69,66,86,86,91,6,8,10,2,6,6,7,8,7,8,7,1,10,Doctor
86,66,95,72,49,9,7,6,5,5,3,5,7,6,8,9,0,4,Software Engineer
74,41,87,76,98,6,3,3,3,5,1,2,1,5,10,7,0,8,General Studies
94,80,66,73,81,3,3,2,7,1,0,8,4,2,9,0,0,6,General Studies
79,87,92,59,53,5,1,9,0,2,5,7,3,3,0,6,0,0,General Studies
91,52,62,74,51,6,8,8,7,2,8,9,4,1,7,9,0,0,Business Manager
55,48,63,90,86,4,2,0,10,2,9,5,2,6,3,9,1,5,General Studies
52,91,48,89,81,4,3,7,0,1,4,0,9,1,3,3,0,8,General Studies
89,75,74,93,69,1,6,0,10,8,1,1,10,9,4,5,0,0,General Studies
99,61,90,57,71,6,9,4,0,5,0,3,0,0,1,5,0,2,Doctor
81,81,59,85,71,5,7,9,6,1,2,1,7,5,0,4,1,4,General Studies
69,65,76,63,81,10,7,7,0,2,3,2,8,3,4,9,0,3,General Studies
58,97,81,47,71,0,3,5,8,9,6,7,7,7,6,8,0,0,General Studies
56,93,56,69,65,3,6,6,7,5,8,8,3,0,9,10,0,9,General Studies
95,51,86,83,90,2,9,10,0,3,7,5,1,8,8,9,1,3,Doctor
58,56,70,92,40,2,0,7,1,6,8,3,3,5,1,7,0,3,General Studies
67,53,94,49,95,6,5,5,1,5,6,10,8,1,7,5,1,10,General Studies
97,53,96,62,97,10,5,10,1,5,9,1,9,7,6,3,1,9,General Studies
94,96,47,91,81,9,5,5,5,2,7,6,8,4,1,3,0,3,Software Engineer
65,73,54,88,41,3,1,10,3,10,7,9,4,4,4,8,1,2,Business Manager
76,92,70,50,56,7,7,5,7,7,0,10,4,4,6,3,1,6,General Studies
65,96,92,41,69,10,4,4,0,8,8,6,9,6,2,6,1,0,Research Scientist
92,59,69,97,95,8,4,7,9,5,1,9,2,6,1,5,1,1,Software Engineer
62,50,85,65,78,2,1,1,3,1,10,8,5,9,5,1,1,0,General Studies
48,55,59,75,46,4,3,6,9,0,6,4,6,10,9,4,1,3,General Studies
51,90,99,72,91,3,8,3,10,2,9,9,9,6,5,2,0,4,Doctor
92,70,78,86,66,9,8,0,4,2,9,3,8,9,10,8,1,10,Doctor
40,94,92,52,48,5,5,4,8,7,4,9,6,1,3,9,1,9,Graphic Designer
97,45,94,79,61,10,10,2,4,4,3,5,2,7,0,0,0,4,Doctor
97,95,51,64,73,9,8,3,10,0,0,1,6,0,4,9,1,1,General Studies
40,58,88,43,85,3,3,6,2,10,0,1,0,1,0,3,0,10,General Studies
86,76,56,81,88,7,10,4,10,3,2,8,1,10,10,3,0,2,Graphic Designer
73,97,81,58,40,2,0,3,3,6,0,6,3,6,10,8,1,3,General Studies
71,43,69,57,48,10,1,0,9,4,7,6,6,3,7,0,1,9,General Studies
93,86,68,76,59,4,0,5,6,9,2,4,8,10,1,1,1,5,General Studies
87,43,58,69,92,0,7,10,0,5,10,6,4,9,8,0,0,5,General Studies
64,59,85,58,58,5,8,9,10,9,9,8,7,9,8,0,1,1,Doctor
79,49,50,97,75,10,9,5,5,3,1,9,6,8,2,0,0,1,Software Engineer
84,63,73,62,99,4,5,6,7,1,5,4,4,10,5,2,1,8,General Studies
92,93,89,98,79,7,1,0,0,8,3,8,2,8,8,10,1,1,General Studies
40,74,46,93,84,8,5,3,7,1,10,0,2,2,6,3,1,1,Software Engineer
55,65,83,55,43,7,8,8,6,1,10,2,5,2,3,9,0,2,Doctor
78,76,97,40,48,7,2,9,0,1,3,6,9,8,2,1,0,8,General Studies
44,77,73,51,80,2,8,5,8,0,1,3,10,9,1,0,1,5,Doctor
61,60,98,63,61,3,1,1,10,2,1,1,3,7,9,4,0,10,General Studies
68,93,59,73,57,10,10,3,2,5,10,2,2,0,9,5,1,5,Software Engineer
94,79,89,92,51,3,4,5,1,6,5,6,3,5,0,1,0,9,General Studies
42,78,77,96,81,10,10,3,6,0,4,7,2,6,10,2,0,4,Doctor
51,60,63,47,82,4,1,9,10,4,8,10,9,10,9,9,1,6,Business Manager
65,49,49,57,78,8,6,6,2,4,3,8,10,7,10,2,1,10,General Studies
55,77,71,96,48,8,10,2,0,0,4,5,10,1,0,1,0,3,Doctor
90,85,91,87,45,9,9,5,9,3,0,9,5,0,3,3,0,9,Doctor
76,43,54,44,58,0,8,3,2,9,1,8,6,3,3,4,0,9,General Studies
61,99,76,65,87,7,6,2,5,0,2,3,3,0,8,7,1,2,General Studies
96,96,59,69,86,0,4,2,2,0,4,4,2,1,9,5,1,6,General Studies
68,84,42,93,46,1,3,1,4,6,4,0,2,2,0,8,0,9,General Studies
53,59,76,52,55,6,3,10,8,6,3,8,10,3,10,2,1,0,Graphic Designer
67,56,96,58,44,7,9,2,6,2,9,8,2,5,3,9,0,5,Doctor
44,94,79,68,55,0,7,9,1,6,2,8,8,7,2,8,1,10,Business Manager
86,46,47,42,40,2,9,0,0,2,8,2,10,8,8,10,1,10,General Studies
88,43,79,65,90,6,9,2,6,1,0,9,10,3,4,10,0,10,Doctor
69,68,83,79,76,8,9,8,3,9,5,9,2,0,8,3,1,1,Doctor
85,53,95,98,78,7,9,3,10,3,6,9,2,4,9,7,0,1,Doctor
91,42,62,97,58,7,9,2,6,9,9,7,7,4,5,9,1,10,Research Scientist
44,63,79,97,93,8,0,7,5,2,3,2,3,8,10,6,0,7,Software Engineer
51,76,50,51,76,9,4,0,6,6,9,5,6,5,8,6,1,2,General Studies
55,55,85,41,56,2,1,4,3,0,2,4,2,4,0,8,1,8,General Studies
65,97,47,50,65,7,10,0,2,5,7,7,7,9,3,9,1,3,General Studies
65,94,68,83,61,0,8,6,4,1,8,2,2,9,3,1,0,5,General Studies
87,91,69,67,47,7,6,4,2,7,0,0,4,4,9,4,0,0,General Studies
60,43,95,57,72,6,9,1,2,4,10,8,0,7,9,2,1,10,Doctor
78,95,99,52,41,7,7,0,3,2,9,9,4,10,5,6,1,9,General Studies
75,63,49,76,69,0,5,10,7,9,8,8,5,0,9,2,0,9,Research Scientist
72,73,78,61,86,5,8,6,1,6,6,2,6,4,0,4,0,2,Doctor
69,69,67,51,59,6,5,0,3,10,0,1,1,0,9,4,1,3,General Studies
76,57,88,41,99,10,6,2,10,1,6,3,1,6,4,1,1,4,General Studies
62,58,75,76,57,4,6,10,2,4,4,7,8,6,2,10,0,0,Business Manager
97,70,52,46,82,4,8,5,6,10,9,5,9,9,0,0,0,3,Research Scientist
49,99,71,65,96,6,10,5,1,7,6,9,0,7,5,5,0,4,Doctor
93,99,75,65,49,10,7,6,0,10,8,0,1,6,2,0,1,3,Research Scientist
44,58,76,63,63,2,0,10,9,0,7,7,1,10,3,8,1,9,Business Manager
75,88,65,51,95,5,3,10,0,0,5,4,9,8,8,9,0,9,Business Manager
73,85,61,55,43,6,6,0,5,2,1,5,6,7,1,4,0,6,General Studies
91,58,43,62,76,0,10,6,2,2,7,4,5,7,0,0,1,7,General Studies
70,61,70,79,43,1,7,1,6,6,3,9,8,2,9,7,1,7,General Studies
49,63,57,99,52,3,6,5,7,5,7,4,10,9,5,0,1,2,General Studies
97,84,77,48,64,7,2,7,4,6,6,2,6,3,0,3,1,4,General Studies
58,51,63,71,52,10,3,4,4,3,3,3,2,3,0,6,0,9,Software Engineer
97,69,95,54,57,9,6,9,1,10,7,4,2,0,6,3,1,7,General Studies
71,97,62,76,98,5,7,2,7,1,10,10,0,5,1,4,1,6,General Studies
40,77,61,52,63,0,6,10,9,1,10,10,7,1,3,6,1,8,Graphic Designer
95,92,41,44,41,9,5,7,0,9,10,1,0,8,3,3,0,9,Research Scientist
44,70,70,50,87,4,8,7,9,0,1,5,10,0,1,4,0,6,General Studies
84,75,94,49,72,6,8,3,8,8,8,1,1,0,5,6,0,1,Doctor
43,58,50,91,97,5,10,7,0,6,5,3,10,10,9,0,1,3,General Studies
55,87,67,52,58,8,6,4,0,9,6,0,6,9,1,2,1,7,General Studies
63,84,85,80,48,7,7,10,0,2,9,3,0,10,7,0,1,8,General Studies
55,75,71,92,67,3,5,4,6,1,0,6,3,5,3,2,1,6,General Studies
94,69,44,85,74,10,0,2,3,2,2,7,8,0,0,10,0,4,Software Engineer
41,94,77,89,96,4,0,6,6,6,9,1,7,2,6,1,1,0,General Studies
88,88,49,54,78,6,5,10,4,4,4,2,10,9,5,4,0,8,General Studies
67,94,79,81,49,7,1,10,6,2,6,0,7,1,5,9,1,5,Business Manager
71,72,85,95,40,4,7,8,9,8,0,6,2,10,10,4,1,1,General Studies
66,57,63,46,81,8,0,8,6,1,8,3,4,8,2,9,1,10,Business Manager
59,91,74,79,60,9,1,0,3,6,4,10,3,4,9,8,1,9,Software Engineer
63,88,83,67,48,3,7,0,1,9,2,9,10,5,6,7,1,9,General Studies
51,98,87,71,99,3,5,9,7,5,6,7,7,1,5,2,1,1,General Studies
89,67,99,74,86,7,9,10,1,5,9,4,10,7,9,0,0,9,Doctor
74,98,62,54,54,0,1,4,8,6,7,8,6,5,9,4,0,0,Graphic Designer
99,86,56,87,74,7,1,0,4,5,9,5,6,10,8,10,0,3,General Studies
72,50,40,75,96,4,10,3,8,1,9,10,9,7,2,2,0,9,Graphic Designer
72,96,94,60,44,10,6,0,8,10,2,9,9,7,2,4,0,10,Graphic Designer
90,99,70,45,80,0,4,1,7,4,6,1,6,0,3,8,1,1,General Studies
